kd_code	image_url
201206159	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426622886300027
200705431	
200905381	
200008959	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427795990100093
200908185	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032004764500082
200908186	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031231681800000
201006205	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426514911200121
200803698	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427863758000024
200802337	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147800431864400026
201504045	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427087959900033
201706222	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150669837843600110
201708319	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154609801683100042
201708320	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152491575555400013
201708321	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152491575555400019
199906841	
200510972	
201504788	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146537626326700059
200209697	
200409938	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032101708400084
200610680	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428209769800095
200611520	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427630838400188
200611521	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152795410353100121
200611522	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427562825900197
200611523	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427567771100000
200706794	
200710024	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427819753800148
200710025	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427819753800154
200806843	
200807565	
200909517	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032185618000188
201801489	
200308342	
200308343	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150885309980600040
200308344	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151499401019800094
200308345	
200308346	
200308347	
200410519	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154601161228500127
200712740	
200610884	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706780504700012
200700501	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317988895100103
199304302	
199504213	
199806573	
199907012	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151525327782000052
199907013	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298763309200001
199907014	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317963768200083
200008963	
200209849	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147759742474000016
200209850	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150194760309000033
200209851	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150194760309000039
200410141	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333320801300044
200410142	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150885309980500092
200410143	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150885309980500098
200410144	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150885309980500104
200610676	
200811444	
200900844	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317963768200071
200900845	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317963768200077
201001420	https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426479322700065
